"AGE","SEX","RACE","MARST","EDUC","MINUTES","EDUCNUM"
38,"Male","White","Single","High School Degree",40,1
33,"Female","White","Married","Four Year Degree",25,3
35,"Male","White","Married","Advanced Degree",40,4
57,"Male","White","Married","Some College",50,2
50,"Male","White","Married","Four Year Degree",60,3
58,"Female","White","Married","Four Year Degree",15,3
38,"Male","White","Married","Four Year Degree",50,3
55,"Male","White","Married","Some College",40,2
53,"Female","White","Married","Four Year Degree",40,3
65,"Male","White","Married","Four Year Degree",50,3
38,"Female","White","Separated/Divorced","Some College",40,2
48,"Male","White","Separated/Divorced","Some College",32,2
34,"Female","White","Single","Some College",40,2
57,"Male","White","Married","Advanced Degree",45,4
31,"Female","White","Single","Some College",50,2
26,"Female","White","Single","Advanced Degree",60,4
26,"Male","White","Single","Some College",40,2
34,"Female","White","Married","Advanced Degree",35,4
36,"Male","White","Married","Four Year Degree",40,3
42,"Female","White","Married","Four Year Degree",40,3
40,"Male","White","Married","Four Year Degree",40,3
44,"Female","White","Separated/Divorced","Some College",40,2
32,"Female","White","Separated/Divorced","Some College",40,2
31,"Male","White","Separated/Divorced","Some College",40,2
55,"Female","White","Widowed","Some College",32,2
32,"Male","White","Widowed","Four Year Degree",40,3
26,"Male","White","Married","Some College",45,2
30,"Female","White","Married","Four Year Degree",45,3
43,"Male","White","Married","Advanced Degree",60,4
42,"Female","White","Married","Four Year Degree",50,3
36,"Male","White","Married","Advanced Degree",40,4
35,"Female","White","Married","Advanced Degree",40,4
33,"Female","White","Married","Some College",17,2
51,"Male","White","Married","Four Year Degree",40,3
50,"Female","White","Married","Advanced Degree",60,4
42,"Female","White","Married","Advanced Degree",40,4
41,"Male","White","Married","Advanced Degree",40,4
75,"Male","White","Married","Advanced Degree",40,4
50,"Female","White","Married","Four Year Degree",20,3
58,"Female","White","Married","Some College",45,2
30,"Male","White","Married","High School Degree",30,1
53,"Male","White","Married","Some College",50,2
50,"Female","White","Married","Some College",50,2
28,"Female","White","Single","Advanced Degree",45,4
47,"Female","Other","Single","Four Year Degree",45,3
33,"Female","White","Single","Advanced Degree",40,4
40,"Female","White","Single","Some College",40,2
54,"Female","White","Married","Some College",41,2
55,"Female","White","Married","Advanced Degree",52,4
57,"Male","White","Married","Some College",20,2
38,"Male","White","Married","Some College",50,2
56,"Female","White","Married","Some College",35,2
64,"Male","White","Married","Four Year Degree",35,3
56,"Female","White","Married","Some College",40,2
59,"Male","White","Married","High School Degree",40,1
51,"Male","White","Separated/Divorced","High School Degree",70,1
39,"Male","White","Single","High School Degree",40,1
50,"Female","White","Separated/Divorced","Some College",40,2
30,"Male","White","Married","Some College",45,2
31,"Female","White","Married","Some College",40,2
42,"Female","White","Separated/Divorced","High School Degree",38,1
33,"Male","White","Single","Some College",34,2
30,"Female","White","Married","Four Year Degree",40,3
30,"Male","White","Married","Four Year Degree",35,3
47,"Male","White","Married","High School Degree",40,1
39,"Male","White","Married","Four Year Degree",40,3
37,"Male","White","Married","Four Year Degree",67,3
45,"Male","White","Single","Four Year Degree",40,3
53,"Female","White","Married","High School Degree",40,1
69,"Female","White","Widowed","Some College",4,2
55,"Male","White","Separated/Divorced","Some College",40,2
64,"Male","White","Married","High School Degree",50,1
42,"Female","White","Separated/Divorced","Some College",40,2
53,"Male","White","Married","Some College",46,2
52,"Female","White","Married","Four Year Degree",42,3
35,"Female","White","Married","Some College",30,2
49,"Male","White","Married","Four Year Degree",35,3
65,"Male","White","Separated/Divorced","High School Degree",20,1
52,"Male","White","Married","Some College",48,2
44,"Male","White","Married","Some College",33,2
35,"Female","White","Single","Four Year Degree",40,3
48,"Female","White","Married","Four Year Degree",32,3
54,"Male","White","Married","Some College",40,2
54,"Male","White","Married","Some College",44,2
55,"Female","White","Married","Some College",40,2
41,"Male","White","Married","Four Year Degree",50,3
39,"Female","White","Married","Some College",45,2
52,"Female","White","Separated/Divorced","Four Year Degree",40,3
61,"Male","White","Separated/Divorced","Some College",40,2
47,"Male","White","Married","Some College",50,2
51,"Female","White","Married","Some College",40,2
53,"Female","Other","Separated/Divorced","High School Degree",30,1
36,"Female","White","Single","Some College",36,2
31,"Male","White","Single","Some College",40,2
36,"Female","White","Single","Four Year Degree",35,3
31,"Male","Black","Single","Some College",24,2
61,"Male","White","Married","Some College",40,2
60,"Female","White","Married","Some College",40,2
32,"Male","White","Separated/Divorced","Some College",40,2
51,"Female","White","Married","Advanced Degree",6,4
51,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
37,"Female","Other","Married","Four Year Degree",40,3
45,"Female","White","Separated/Divorced","Some College",40,2
45,"Female","White","Married","Advanced Degree",70,4
45,"Male","White","Married","Advanced Degree",40,4
38,"Male","White","Married","Advanced Degree",40,4
38,"Female","White","Married","Advanced Degree",40,4
69,"Male","White","Married","Advanced Degree",45,4
38,"Male","Asian/Pacific Islander","Single","Four Year Degree",35,3
33,"Male","White","Married","Advanced Degree",37,4
32,"Female","White","Married","Four Year Degree",40,3
51,"Male","White","Married","Advanced Degree",60,4
48,"Female","White","Married","Four Year Degree",27,3
59,"Female","White","Married","Four Year Degree",25,3
53,"Male","White","Married","Some College",62,2
71,"Male","White","Married","Advanced Degree",38,4
63,"Female","White","Married","Four Year Degree",25,3
41,"Male","White","Married","Some College",40,2
37,"Female","White","Married","Four Year Degree",40,3
63,"Female","White","Married","Four Year Degree",25,3
70,"Male","White","Married","Four Year Degree",40,3
53,"Female","White","Married","Four Year Degree",20,3
52,"Male","White","Married","Advanced Degree",50,4
52,"Male","White","Single","Four Year Degree",40,3
51,"Male","White","Single","Some College",40,2
45,"Female","White","Separated/Divorced","Four Year Degree",62,3
67,"Female","White","Married","Some College",60,2
65,"Female","White","Separated/Divorced","Some College",17,2
42,"Male","Asian/Pacific Islander","Married","Some College",50,2
46,"Female","White","Single","Some College",40,2
34,"Female","White","Single","Four Year Degree",41,3
50,"Male","White","Married","Four Year Degree",45,3
50,"Female","White","Married","Four Year Degree",40,3
31,"Female","White","Single","Advanced Degree",50,4
47,"Female","White","Separated/Divorced","Four Year Degree",40,3
51,"Male","White","Married","Four Year Degree",45,3
46,"Female","White","Married","Four Year Degree",60,3
72,"Female","White","Widowed","Four Year Degree",28,3
41,"Male","White","Single","Advanced Degree",40,4
29,"Male","White","Married","Four Year Degree",35,3
27,"Female","White","Married","Some College",40,2
49,"Female","White","Married","Four Year Degree",47,3
50,"Male","White","Married","Advanced Degree",48,4
34,"Male","White","Married","Advanced Degree",50,4
27,"Male","White","Single","Some College",28,2
47,"Male","White","Single","Advanced Degree",40,4
34,"Female","White","Single","Some College",65,2
40,"Male","White","Single","Some College",40,2
33,"Female","White","Single","Some College",45,2
51,"Female","White","Separated/Divorced","Four Year Degree",30,3
56,"Male","White","Single","Some College",50,2
48,"Male","White","Separated/Divorced","Some College",75,2
52,"Female","White","Married","Advanced Degree",30,4
48,"Male","White","Married","Advanced Degree",60,4
35,"Male","American Indian/Aleut/Eskimo","Single","Four Year Degree",35,3
26,"Male","White","Single","Some College",35,2
55,"Female","White","Married","Four Year Degree",20,3
54,"Male","White","Married","Four Year Degree",40,3
36,"Female","White","Married","Advanced Degree",40,4
38,"Male","White","Married","Four Year Degree",40,3
54,"Female","White","Married","Some College",40,2
58,"Male","White","Married","Some College",40,2
34,"Male","White","Married","Advanced Degree",45,4
47,"Male","White","Married","Advanced Degree",50,4
65,"Male","White","Married","Some College",50,2
52,"Female","White","Single","Four Year Degree",30,3
40,"Male","Asian/Pacific Islander","Married","Advanced Degree",80,4
37,"Male","White","Single","Four Year Degree",35,3
58,"Female","White","Married","Four Year Degree",40,3
48,"Female","American Indian/Aleut/Eskimo","Married","Some College",16,2
48,"Male","American Indian/Aleut/Eskimo","Married","Some College",40,2
48,"Male","White","Married","Advanced Degree",55,4
40,"Female","White","Married","Four Year Degree",60,3
38,"Male","White","Married","Advanced Degree",40,4
63,"Male","White","Married","Some College",60,2
71,"Female","White","Married","Some College",36,2
50,"Male","White","Separated/Divorced","High School Degree",34,1
71,"Male","White","Widowed","Four Year Degree",60,3
66,"Male","White","Married","Four Year Degree",40,3
39,"Female","Black","Married","Some College",40,2
36,"Male","White","Married","Some College",50,2
42,"Female","White","Married","Advanced Degree",50,4
59,"Male","White","Married","Four Year Degree",40,3
35,"Female","White","Married","Advanced Degree",20,4
38,"Male","White","Married","Advanced Degree",55,4
47,"Female","White","Separated/Divorced","Four Year Degree",20,3
60,"Female","White","Separated/Divorced","Some College",27,2
62,"Female","White","Single","Advanced Degree",50,4
60,"Female","White","Separated/Divorced","Four Year Degree",21,3
59,"Male","White","Married","Advanced Degree",35,4
52,"Male","White","Married","Four Year Degree",45,3
49,"Female","White","Married","Four Year Degree",45,3
33,"Male","White","Married","Four Year Degree",40,3
31,"Female","White","Married","Four Year Degree",37,3
38,"Female","White","Married","Advanced Degree",30,4
40,"Male","White","Married","Advanced Degree",50,4
48,"Male","White","Married","Advanced Degree",55,4
33,"Female","White","Married","Four Year Degree",40,3
39,"Male","White","Married","Four Year Degree",40,3
32,"Female","White","Married","Advanced Degree",40,4
37,"Male","White","Married","Advanced Degree",40,4
45,"Female","White","Married","Four Year Degree",40,3
48,"Male","White","Married","Four Year Degree",45,3
40,"Male","White","Married","Advanced Degree",55,4
37,"Male","White","Married","Some College",45,2
32,"Female","White","Single","Advanced Degree",40,4
35,"Male","White","Single","Four Year Degree",50,3
63,"Female","White","Widowed","Advanced Degree",20,4
50,"Female","White","Married","Some College",40,2
44,"Male","White","Separated/Divorced","Some College",48,2
63,"Female","White","Married","Some College",32,2
68,"Female","White","Married","Four Year Degree",37,3
28,"Female","White","Single","Advanced Degree",40,4
27,"Male","White","Single","Four Year Degree",35,3
30,"Male","White","Married","Four Year Degree",46,3
62,"Female","White","Separated/Divorced","Advanced Degree",50,4
46,"Male","White","Married","Four Year Degree",40,3
42,"Male","White","Married","Some College",40,2
45,"Female","White","Married","High School Degree",45,1
35,"Female","White","Married","Advanced Degree",35,4
40,"Male","White","Married","Advanced Degree",35,4
66,"Female","Other","Separated/Divorced","Some College",41,2
75,"Female","White","Married","Four Year Degree",5,3
73,"Male","White","Married","Advanced Degree",12,4
63,"Male","White","Married","Some College",20,2
51,"Female","White","Married","Some College",65,2
28,"Male","White","Married","Four Year Degree",30,3
56,"Male","White","Married","Four Year Degree",40,3
59,"Male","White","Married","Advanced Degree",50,4
55,"Female","White","Married","Advanced Degree",50,4
67,"Male","Other","Married","Advanced Degree",42,4
63,"Female","White","Married","Four Year Degree",35,3
62,"Male","White","Married","Some College",10,2
66,"Female","White","Married","Some College",8,2
26,"Female","White","Single","Four Year Degree",44,3
26,"Male","White","Single","Four Year Degree",60,3
44,"Male","White","Married","Some College",5,2
53,"Male","White","Married","Advanced Degree",45,4
33,"Female","White","Married","Four Year Degree",40,3
39,"Female","White","Married","Some College",4,2
38,"Male","White","Married","Some College",69,2
43,"Male","White","Married","Some College",40,2
52,"Male","White","Married","Some College",40,2
59,"Male","White","Single","Four Year Degree",45,3
56,"Male","White","Married","Some College",40,2
50,"Female","White","Married","Advanced Degree",10,4
34,"Male","White","Married","Some College",40,2
58,"Male","White","Married","Four Year Degree",50,3
57,"Male","White","Separated/Divorced","Some College",40,2
38,"Female","White","Married","Four Year Degree",50,3
29,"Female","White","Single","Some College",20,2
66,"Male","White","Married","Some College",40,2
50,"Male","White","Single","Four Year Degree",70,3
31,"Female","Asian/Pacific Islander","Married","Some College",30,2
54,"Female","White","Married","Some College",40,2
46,"Female","White","Separated/Divorced","Four Year Degree",45,3
30,"Female","Other","Single","Advanced Degree",49,4
60,"Male","White","Separated/Divorced","Some College",50,2
37,"Male","White","Married","Some College",50,2
28,"Female","White","Married","Advanced Degree",45,4
27,"Male","White","Married","Some College",40,2
44,"Male","White","Married","Some College",50,2
51,"Male","White","Married","Some College",48,2
36,"Male","White","Married","Some College",40,2
36,"Female","White","Married","Some College",36,2
37,"Male","White","Married","Some College",40,2
29,"Male","White","Married","Some College",40,2
33,"Female","White","Married","Some College",40,2
49,"Female","Asian/Pacific Islander","Married","High School Degree",40,1
25,"Male","Asian/Pacific Islander","Single","Some College",40,2
38,"Female","White","Married","Some College",40,2
32,"Female","White","Married","Four Year Degree",40,3
35,"Male","White","Married","Some College",50,2
59,"Male","White","Married","Four Year Degree",40,3
65,"Female","White","Married","Four Year Degree",40,3
70,"Female","White","Widowed","Some College",7,2
39,"Female","White","Married","Some College",50,2
68,"Female","White","Separated/Divorced","Four Year Degree",40,3
27,"Female","White","Single","Some College",5,2
56,"Male","White","Married","Some College",45,2
54,"Female","White","Married","Some College",23,2
61,"Female","White","Separated/Divorced","Some College",15,2
26,"Female","White","Married","Some College",43,2
50,"Female","White","Separated/Divorced","Some College",40,2
38,"Male","White","Separated/Divorced","High School Degree",40,1
39,"Male","White","Married","Advanced Degree",30,4
40,"Female","White","Separated/Divorced","Advanced Degree",40,4
38,"Male","White","Married","Four Year Degree",45,3
41,"Female","White","Married","Four Year Degree",15,3
29,"Female","White","Married","Four Year Degree",38,3
34,"Male","White","Married","Advanced Degree",40,4
71,"Female","White","Married","Some College",22,2
76,"Male","White","Married","Four Year Degree",25,3
33,"Male","White","Single","Some College",60,2
31,"Male","White","Separated/Divorced","Some College",40,2
46,"Male","White","Single","High School Degree",40,1
66,"Male","White","Married","Some College",20,2
63,"Female","White","Married","Some College",40,2
55,"Female","White","Married","Advanced Degree",80,4
55,"Male","White","Married","Advanced Degree",80,4
58,"Female","White","Separated/Divorced","Advanced Degree",40,4
58,"Male","White","Married","Four Year Degree",40,3
58,"Female","White","Married","Advanced Degree",45,4
57,"Female","White","Married","Advanced Degree",40,4
51,"Male","White","Separated/Divorced","Four Year Degree",40,3
42,"Male","White","Married","Four Year Degree",55,3
35,"Female","White","Married","Advanced Degree",40,4
36,"Male","White","Married","Four Year Degree",40,3
47,"Male","White","Married","Advanced Degree",50,4
49,"Female","White","Married","Advanced Degree",70,4
36,"Female","White","Married","Some College",40,2
61,"Female","White","Married","Some College",40,2
67,"Male","White","Married","Some College",40,2
38,"Female","White","Single","Advanced Degree",75,4
32,"Male","White","Single","Some College",40,2
39,"Female","White","Married","Advanced Degree",30,4
45,"Male","White","Married","Advanced Degree",50,4
45,"Male","White","Married","Four Year Degree",60,3
44,"Female","White","Married","Advanced Degree",40,4
56,"Male","White","Married","High School Degree",32,1
39,"Female","White","Married","Four Year Degree",35,3
38,"Male","White","Married","Four Year Degree",35,3
57,"Female","White","Married","Four Year Degree",20,3
48,"Male","White","Married","Four Year Degree",20,3
38,"Female","White","Married","Advanced Degree",45,4
26,"Female","Black","Married","Advanced Degree",50,4
48,"Female","White","Married","Some College",26,2
48,"Male","White","Married","Some College",50,2
48,"Female","White","Single","High School Degree",40,1
33,"Female","White","Married","Four Year Degree",40,3
35,"Female","White","Single","Some College",40,2
29,"Male","White","Single","Some College",40,2
58,"Female","White","Separated/Divorced","Some College",40,2
44,"Female","White","Married","High School Degree",45,1
44,"Male","White","Married","Some College",55,2
55,"Male","White","Married","Some College",40,2
64,"Female","White","Married","High School Degree",84,1
64,"Male","White","Married","Some College",40,2
53,"Female","White","Single","Some College",45,2
52,"Female","White","Single","Some College",40,2
60,"Male","White","Married","High School Degree",40,1
60,"Male","White","Separated/Divorced","Some College",40,2
40,"Female","White","Separated/Divorced","High School Degree",40,1
48,"Male","White","Married","Advanced Degree",55,4
48,"Female","White","Married","Four Year Degree",40,3
53,"Male","White","Married","Four Year Degree",50,3
54,"Female","White","Married","Four Year Degree",40,3
53,"Male","White","Separated/Divorced","Four Year Degree",90,3
48,"Female","White","Single","High School Degree",40,1
60,"Male","White","Separated/Divorced","High School Degree",40,1
47,"Female","White","Separated/Divorced","Four Year Degree",20,3
57,"Female","White","Married","Some College",32,2
59,"Male","White","Married","Some College",50,2
58,"Female","White","Single","Some College",30,2
50,"Female","White","Separated/Divorced","Some College",40,2
46,"Female","White","Married","Four Year Degree",37,3
48,"Male","White","Married","Four Year Degree",40,3
63,"Female","White","Single","Four Year Degree",38,3
75,"Female","White","Married","Advanced Degree",15,4
58,"Female","White","Widowed","Four Year Degree",38,3
71,"Male","White","Married","Advanced Degree",10,4
60,"Female","White","Separated/Divorced","Some College",40,2
56,"Female","White","Married","Four Year Degree",37,3
50,"Male","White","Separated/Divorced","Advanced Degree",37,4
41,"Female","White","Married","Four Year Degree",40,3
43,"Male","White","Married","Four Year Degree",40,3
61,"Female","White","Married","Advanced Degree",54,4
63,"Male","White","Married","Advanced Degree",40,4
53,"Male","White","Married","Four Year Degree",40,3
55,"Female","White","Married","Four Year Degree",25,3
53,"Male","White","Married","Four Year Degree",50,3
45,"Female","White","Married","Advanced Degree",44,4
57,"Male","White","Married","Advanced Degree",50,4
41,"Male","White","Married","Some College",71,2
43,"Female","White","Married","Four Year Degree",40,3
51,"Female","White","Married","Four Year Degree",40,3
55,"Male","White","Married","Some College",40,2
52,"Female","White","Separated/Divorced","Advanced Degree",45,4
53,"Male","White","Married","Some College",50,2
53,"Female","White","Married","Some College",34,2
25,"Male","White","Single","High School Degree",40,1
53,"Female","White","Married","Some College",32,2
46,"Female","White","Separated/Divorced","Four Year Degree",58,3
65,"Female","White","Married","Some College",40,2
64,"Male","White","Married","Four Year Degree",40,3
42,"Female","White","Married","Some College",40,2
51,"Male","White","Separated/Divorced","Some College",4,2
69,"Male","White","Married","Four Year Degree",40,3
66,"Female","White","Married","Four Year Degree",40,3
48,"Male","White","Separated/Divorced","Some College",40,2
34,"Female","White","Separated/Divorced","Four Year Degree",40,3
51,"Male","White","Single","Advanced Degree",60,4
65,"Male","White","Married","Some College",60,2
50,"Female","White","Married","Four Year Degree",45,3
46,"Male","White","Married","Some College",48,2
66,"Female","White","Single","Four Year Degree",38,3
36,"Female","White","Married","Some College",40,2
38,"Male","White","Married","Some College",50,2
44,"Male","White","Married","Some College",40,2
27,"Male","White","Single","Some College",40,2
60,"Female","White","Married","Four Year Degree",32,3
60,"Female","White","Separated/Divorced","Four Year Degree",38,3
52,"Female","White","Married","Some College",40,2
56,"Male","White","Married","Some College",40,2
56,"Male","White","Married","Some College",38,2
61,"Female","White","Married","Four Year Degree",40,3
27,"Male","White","Single","Some College",40,2
25,"Female","White","Married","Four Year Degree",38,3
32,"Male","White","Married","Four Year Degree",40,3
57,"Male","White","Married","Advanced Degree",50,4
61,"Female","White","Married","Advanced Degree",40,4
55,"Male","Asian/Pacific Islander","Married","High School Degree",40,1
67,"Female","White","Separated/Divorced","Advanced Degree",37,4
66,"Female","White","Separated/Divorced","Some College",15,2
32,"Female","White","Married","Four Year Degree",40,3
31,"Male","Asian/Pacific Islander","Single","Four Year Degree",36,3
47,"Female","White","Married","Some College",40,2
53,"Male","White","Married","Some College",40,2
54,"Male","White","Married","Advanced Degree",40,4
49,"Female","White","Married","Advanced Degree",40,4
32,"Male","White","Married","Some College",40,2
52,"Male","White","Married","Some College",40,2
36,"Male","White","Separated/Divorced","Four Year Degree",50,3
29,"Male","White","Married","Advanced Degree",45,4
29,"Female","White","Married","Four Year Degree",35,3
65,"Male","White","Married","Advanced Degree",45,4
63,"Female","White","Married","Four Year Degree",40,3
72,"Male","White","Widowed","Four Year Degree",35,3
85,"Male","White","Married","High School Degree",40,1
40,"Female","White","Single","Four Year Degree",12,3
57,"Female","White","Separated/Divorced","Four Year Degree",76,3
30,"Male","White","Single","Advanced Degree",47,4
62,"Female","White","Married","Advanced Degree",29,4
68,"Female","White","Widowed","Some College",24,2
43,"Female","White","Separated/Divorced","Some College",40,2
51,"Male","White","Married","Advanced Degree",40,4
63,"Male","White","Married","Some College",56,2
62,"Female","White","Married","Some College",40,2
37,"Female","Asian/Pacific Islander","Married","Some College",50,2
27,"Male","White","Single","High School Degree",25,1
30,"Male","White","Married","Some College",40,2
49,"Female","White","Married","Advanced Degree",40,4
41,"Female","White","Separated/Divorced","Some College",35,2
47,"Male","Black","Married","Advanced Degree",40,4
44,"Female","Black","Married","Some College",35,2
30,"Female","White","Married","Four Year Degree",36,3
31,"Male","White","Married","Some College",40,2
26,"Female","White","Single","Some College",60,2
42,"Female","White","Married","Advanced Degree",60,4
61,"Female","White","Separated/Divorced","Some College",28,2
28,"Male","White","Single","Some College",40,2
31,"Male","White","Married","Four Year Degree",44,3
29,"Female","White","Married","Four Year Degree",35,3
76,"Male","White","Married","Advanced Degree",21,4
51,"Male","White","Married","Four Year Degree",50,3
40,"Female","White","Married","Four Year Degree",40,3
44,"Male","Black","Married","Four Year Degree",60,3
59,"Female","White","Married","Some College",65,2
55,"Male","White","Single","Four Year Degree",40,3
53,"Male","White","Separated/Divorced","Four Year Degree",40,3
34,"Female","White","Widowed","Some College",17,2
48,"Male","White","Separated/Divorced","Four Year Degree",40,3
52,"Male","White","Married","Some College",55,2
49,"Female","White","Married","Some College",47,2
30,"Female","White","Single","Four Year Degree",50,3
52,"Female","White","Married","Some College",40,2
50,"Male","White","Married","Some College",45,2
41,"Male","White","Married","Four Year Degree",45,3
36,"Female","White","Married","Four Year Degree",60,3
34,"Male","White","Married","Four Year Degree",60,3
54,"Female","White","Separated/Divorced","Some College",40,2
32,"Female","White","Single","Four Year Degree",87,3
28,"Female","White","Married","Four Year Degree",20,3
28,"Male","White","Married","Four Year Degree",40,3
38,"Female","White","Married","Four Year Degree",20,3
55,"Male","White","Married","Some College",52,2
28,"Female","White","Single","Some College",10,2
53,"Female","White","Married","Advanced Degree",20,4
56,"Male","White","Married","Advanced Degree",40,4
57,"Female","White","Married","Some College",36,2
53,"Female","White","Separated/Divorced","Four Year Degree",40,3
56,"Female","White","Married","Four Year Degree",9,3
57,"Male","White","Married","Advanced Degree",40,4
25,"Female","White","Single","Four Year Degree",36,3
58,"Male","White","Married","Advanced Degree",50,4
56,"Female","White","Married","Some College",60,2
71,"Female","White","Separated/Divorced","Some College",40,2
57,"Male","White","Married","Four Year Degree",45,3
25,"Male","White","Single","Some College",48,2
59,"Female","White","Separated/Divorced","Some College",40,2
37,"Male","White","Single","Advanced Degree",60,4
53,"Female","White","Married","Some College",40,2
28,"Male","White","Single","Advanced Degree",40,4
56,"Female","White","Married","Some College",40,2
27,"Female","White","Single","Advanced Degree",55,4
55,"Male","White","Married","Four Year Degree",50,3
50,"Female","White","Married","Four Year Degree",50,3
55,"Male","White","Married","Some College",42,2
61,"Female","White","Married","Four Year Degree",36,3
62,"Male","White","Married","Some College",40,2
47,"Male","White","Married","Advanced Degree",50,4
34,"Male","White","Married","Advanced Degree",55,4
30,"Female","White","Married","Advanced Degree",55,4
66,"Male","White","Married","Four Year Degree",40,3
68,"Male","White","Married","Some College",40,2
53,"Male","White","Married","Some College",40,2
34,"Male","White","Married","Some College",65,2
35,"Male","White","Single","Four Year Degree",38,3
63,"Female","White","Married","Four Year Degree",40,3
37,"Female","White","Married","Four Year Degree",35,3
40,"Male","White","Married","Some College",50,2
50,"Male","White","Married","Advanced Degree",30,4
54,"Male","White","Married","Advanced Degree",50,4
56,"Female","White","Married","Some College",40,2
61,"Female","White","Single","Some College",45,2
26,"Female","White","Married","Four Year Degree",60,3
62,"Male","White","Married","Four Year Degree",45,3
47,"Male","White","Married","Advanced Degree",55,4
51,"Female","White","Separated/Divorced","Some College",28,2
51,"Female","White","Married","Some College",40,2
48,"Male","White","Married","Some College",45,2
46,"Female","White","Married","Four Year Degree",45,3
37,"Female","White","Separated/Divorced","Four Year Degree",40,3
35,"Male","White","Separated/Divorced","Some College",40,2
44,"Male","White","Married","Advanced Degree",40,4
46,"Female","White","Married","Four Year Degree",2,3
54,"Female","White","Married","Four Year Degree",40,3
31,"Female","White","Separated/Divorced","Some College",50,2
57,"Female","White","Married","Some College",60,2
54,"Female","White","Separated/Divorced","Some College",38,2
59,"Female","White","Separated/Divorced","Advanced Degree",45,4
25,"Female","White","Single","Four Year Degree",40,3
51,"Male","White","Married","Four Year Degree",40,3
52,"Female","White","Married","Four Year Degree",45,3
54,"Male","White","Married","Four Year Degree",45,3
